Disease,Description
Allergy ,Allergy is an immune system reaction to a substance in the environment.
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.
Amenorrhoea,Amenorrhoea is the absence of menstrual periods in a woman of reproductive age.
Amino Acid Deficiency,Amino acid deficiency is the lack of essential amino acids required for normal growth and body functions.
Anemia,Anemia is a condition caused by low hemoglobin or red blood cells in the blood.
Arthritis,"Arthritis is inflammation of one or more joints, causing pain and stiffness."
Antioxidant Deficiency,Antioxidant deficiency is the lack of sufficient antioxidants to protect the body’s cells from damage.
Anxiety,"Anxiety is a feeling of excessive worry, fear, or nervousness that affects daily activities."
Asthma,"Asthma is a chronic lung disease that causes inflammation and narrowing of the airways, leading to breathing difficulty."
Blood Sugar Level,Blood sugar level is the amount of glucose present in the blood at a given time.
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.
Calcium Deficiency,Calcium deficiency is a condition in which the body lacks enough calcium to maintain healthy bones and normal muscle function.
Cervical spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine.
Chicken pox,Chicken pox is a highly contagious viral infection causing an itchy rash.
Chikungunya,Chikungunya is a viral disease transmitted by mosquitoes that causes fever and severe joint pain.
Chloride Deficiency,Chloride deficiency is a condition in which the body lacks enough chloride to maintain proper fluid balance and acid–base balance.
Chromium Deficiency,Chromium deficiency is the lack of sufficient chromium needed for normal blood sugar regulation.
Chronic cholestasis,Chronic cholestasis is a long-term condition in which bile flow from the liver is reduced or blocked.
Common Cold,Common Cold is a viral infection of the upper respiratory tract.
Conjuctivitis,"Conjunctivitis is an inflammation or infection of the conjunctiva of the eye, causing redness and irritation."
Constipation,"Constipation is a condition characterized by infrequent, hard, or difficult bowel movements."
Copper Deficiency,Copper deficiency is a condition in which the body lacks enough copper for normal red blood cell formation and nerve function.
Cyanocobalamin Deficiency,"Cyanocobalamin deficiency is a condition caused by low levels of vitamin B12, leading to anemia and nerve problems."
Cystitis,"Cystitis is an inflammation of the urinary bladder, usually caused by a bacterial infection."
Dengue,Dengue is a mosquito-borne viral infection causing flu-like symptoms.
Depression,"Depression is a mental health condition marked by persistent sadness, low mood, and loss of interest in daily activities."
Dimorphic hemorrhoids (Piles),Dimorphic hemorrhoids (piles) are swollen blood vessels in and around the anus that occur both internally and externally.
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.
Fatty Liver,Fatty liver is a condition in which excess fat accumulates in the liver cells.
Fiber Deficiency,"Cystitis is an inflammatio+B31n of the urinary bladder, usually caused by a bacterial infection."
Fluoride Deficiency,"Fluoride deficiency is a condition in which the body lacks enough fluoride, increasing the risk of dental cavities."
Folate Deficiency,Folate deficiency is a condition in which the body lacks enough folic acid needed for red blood cell formation.
Fungal infection,Fungal infection is a common skin condition caused by fungi.
Gall Bladder Stone,Gall bladder stone is a condition in which hardened deposits form in the gall bladder.
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria."
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.
Glaucoma,Glaucoma is an eye disease caused by increased pressure in the eye that can damage the optic nerve.
H.Pylori Infection,H. pylori infection is a bacterial infection of the stomach that can cause gastritis and ulcers.
Heat Stroke,"Heat stroke is a life-threatening condition caused by overheating of the body, leading to very high body temperature."
hepatitis A,hepatitis A is a viral liver disease.
Hepatitis B,Hepatitis B is a viral infection that attacks the liver.
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation.
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus.
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation.
Hiv,HIV (Human Immunodeficiency Virus) is a virus that attacks the immune system and weakens the body’s ability to fight infections.
Hypertension,"Hypertension, or high blood pressure, is a common cardiovascular condition."
Hyperthyroidism,Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone.
Hypoglycemia,Hypoglycemia is a condition characterized by abnormally low blood sugar levels.
Hypothermia,Hypothermia is a condition in which the body temperature drops dangerously below normal.
Hypothyroidism,Hypothyroidism is a condition where the thyroid gland doesn't produce enough thyroid hormone.
Impetigo,Impetigo is a highly contagious skin infection causing red sores that can break open.
Inflammation,"Inflammation is the body’s natural response to injury or infection, causing redness, swelling, pain, or heat."
Iodine Deficiency,Iodine deficiency is a condition in which the body lacks enough iodine to produce normal thyroid hormones.
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems."
Magnesium Deficiency,"Magnesium deficiency is a condition in which the body lacks enough magnesium for normal muscle, nerve, and heart function."
Malaria,Malaria is a mosquito-borne infectious disease affecting humans and other animals.
Manganese Deficiency,Manganese deficiency is a condition in which the body lacks enough manganese needed for metabolism and bone formation.
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
Mild Food Poisoning,"Mild food poisoning is a short-term illness caused by consuming contaminated food, leading to nausea, vomiting, or diarrhea."
Mouth Ulcer,"Mouth ulcer is a small, painful sore inside the mouth that affects eating or speaking."
Muscle Cramp,"Muscle cramp is a sudden, involuntary, and painful contraction of a muscle."
Niacin Deficiency,"Niacin deficiency is a condition caused by low vitamin B3 levels, leading to skin, digestive, and nervous system problems."
Obesity,Obesity is a condition characterized by excessive body fat that increases the risk of health problems.
Omega-3 Deficiency,"Omega-3 deficiency is a condition in which the body lacks enough omega-3 fatty acids needed for heart, brain, and joint health."
Osteoarthristis,Osteoarthristis is a degenerative joint disease that affects the cartilage in joints.
Peptic ulcer disease,Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine.
Phosphorus Deficiency,Phosphorus deficiency is a condition in which the body lacks enough phosphorus for healthy bones and energy production.
Pneumonia,Pneumonia is an inflammatory condition affecting the air sacs in the lungs.
Potassium Deficiency,"Potassium deficiency is a condition in which the body lacks enough potassium for normal muscle, nerve, and heart function."
Psoriasis,"Psoriasis is a chronic skin condition characterized by red, itchy, and scaly patches."
Protein Deficiency,"Protein deficiency is a condition in which the body does not get enough protein for growth, repair, and normal body functions."
Pyridoxine Deficiency,"Pyridoxine deficiency is a condition caused by low vitamin B6 levels, affecting nerve function and red blood cell formation."
Riboflavin Deficiency,"Riboflavin deficiency is a condition caused by low vitamin B2 levels, leading to skin, mouth, and eye problems."
Selenium Deficiency,Selenium deficiency is a condition in which the body lacks enough selenium to support immune function and antioxidant defense.
Sodium Deficiency,Sodium deficiency is a condition in which the body lacks enough sodium to maintain fluid balance and nerve function.
Sulphur Deficiency,Sulphur deficiency is a condition in which the body lacks enough sulphur needed for protein synthesis and tissue repair.
Thiamine Deficiency,"Thiamine deficiency is a condition caused by low vitamin B1 levels, affecting the nervous system and heart function."
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.
Typhoid,Typhoid is a bacterial infection that can lead to a high fever and gastrointestinal symptoms.
Urinary tract infection,Urinary tract infection is an infection in any part of the urinary system.
Vitamin A Deficiency,Lack of vitamin A causing vision problems and weak immunity.
Vitamin A1 Deficiency,Insufficient vitamin A1 leading to poor eyesight and skin issues.
Vitamin B1 Deficiency (Beriberi),Deficiency of thiamine causing nerve and heart disorders.
Vitamin B12 Deficiency,Low vitamin B12 levels causing anemia and nerve damage.
Vitamin B2 Deficiency,"Lack of riboflavin causing skin, mouth, and eye problems."
Vitamin B5 Deficiency,Deficiency of pantothenic acid affecting energy metabolism.
Vitamin B6 Deficiency,Low pyridoxine levels causing nerve and blood-related problems.
Vitamin B9 Deficiency,Lack of folate leading to anemia and birth defects.
Vitamin C Deficiency,Insufficient vitamin C causing scurvy and poor wound healing.
Vitamin D Deficiency,Lack of vitamin D leading to weak bones and muscle pain.
Vitamin D3 Deficiency,Low vitamin D3 causing impaired calcium absorption and bone weakness.
Vitamin H (Biotin) Deficiency,Biotin deficiency causing hair loss and skin problems.
Vitamin K Deficiency,Lack of vitamin K causing excessive bleeding.
Vitamin K2 Deficiency,Insufficient vitamin K2 affecting bone and heart health.
Water Deficiency (Dehydration),Loss of body water causing fatigue and poor body function.
Zinc Deficiency,Lack of zinc leading to weak immunity and delayed wound healing.
